wcase,wsiter,a14,a15,a01,a03,a11,amt1,cont1,cpt1,dept1,domt1,jelt1,nat1,rct1,rdt1,subt1,AngMan_Cent,Interaction
104,627, , ,0,20.8234575442883,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,14.4806324110672,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,13.9993846153846,3.11258278173909E-005,
15,627, , ,0,23,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,30,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,14,3.11258278173909E-005,0
31,627, , ,0,23,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,16,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,12,3.11258278173909E-005,0
50,627, , ,0,20,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,17,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,8,3.11258278173909E-005,0
51,627, , ,0,21,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,14.4806324110672,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,9,3.11258278173909E-005,0
288,627, , ,0,21,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,13,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,16,3.11258278173909E-005,0
315,627, , ,0,20,13.3032903225806,33,11,12,10,12,10,4,14,15.3496143958869,14,6.9247,0
335,627, , ,0,21,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,17,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,8,3.11258278173909E-005,0
430,627, , ,0,20,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,14,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,8,3.11258278173909E-005,0
2728,632, , ,0,19,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,18,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,11,3.11258278173909E-005,0
2773,632, , ,0,20,13.3032903225806,23,21,18,20,16,16,13,15.6115351993215,25,11,-3.0753,0
2802,632, , ,0,19,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,15,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,13.9993846153846,3.11258278173909E-005,0
2804,632, , ,0,19,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,20,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,16,3.11258278173909E-005,0
2827,632, , ,0,27,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,17,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,12,3.11258278173909E-005,0
2836,632, , ,0,19,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,11,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,13.9993846153846,3.11258278173909E-005,0
2837,632, , ,0,19,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,9,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,13.9993846153846,3.11258278173909E-005,0
2953,632, , ,0,18,13.3032903225806,23,27,24,11,16.7000828500414,24,9,15.6115351993215,15.3496143958869,14,-3.0753,0
2958,632, ,0,0,19,13.3032903225806,20,24,20,19,18,26,11,16,16,10,-6.0753,0
2985,632, , ,0,19,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,16,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,9,3.11258278173909E-005,0
3070,632, , ,0,19,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,11,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,17,3.11258278173909E-005,0
3132,632, , ,0,19,13.3032903225806,26,15,15.0244667503137,10,22,15,7,15.6115351993215,19,10,-.0752999999999986,0
3369,632, , ,0,33,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,11,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,9,3.11258278173909E-005,0
3451,632, , ,0,19,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,14,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,8,3.11258278173909E-005,0
3522,613, , ,0,18,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,17,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,8,3.11258278173909E-005,0
3525,613, , ,0,19,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,10,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,13.9993846153846,3.11258278173909E-005,0
3614,613, , ,0,23,13.3032903225806,23,22,20,14,19,24,10,17,14,8,-3.0753,0
