caseid,wsiter,amt1,cpt1,dept1,jelt1,subt1,a01,a08,am01,am02,am03,am04,am05,am06,am07,am08,am09,con12,con13,con14,con15,con17,con01,con03,con05,con09,cp10,cp11,cp12,cp13,cp15,cp02,cp07,cp08,dom01,dom02,dom03,dom04,dom05,dom06,dom07,dom08,dom09
1,613,27,12.368822510203,27,15.4439305319622,13.0171944506828,0,3,1,2,1,3,2,3,3,4,1,4,1.854955868305,4,4,2.10693185364164,1,2.22607799592908,1,1,1.73848302582621,1.63033937427147,3,1,1,3,1,1,2.33437283143405,2.50067436998983,3.01190383797427,2,1,1,1,1,1
2,613,25.3187139235166,13.9021897645316,18,21.7953427892679,13.7012844306627,0,3,2.82944702941011,2.64292299333594,2.46566300361141,3.12660889300173,1.96904160307495,3.10833016785522,2.61405917263359,2.81627816328826,2.38418557997546,2.03095238046383,3,3,2.52884126938133,2.36050692610276,2.27212033237121,2.17855667856748,2.29358008830014,2.31355503502559,1.39248521372328,2.17136519888414,3.27100121875941,1,2.5637606287262,1,2.25172818228652,1.79385175082971,1.79409098023582,3,4,3,1.84629245350224,2.50659339531423,2.46248155535679,2.2974380127249,2
3,613,27.4237513228276,13.7006553782759,10,18.4018030619831,13.2679483921827,0,3,3.22765935961262,2.79332147626278,1.99347918081236,3.12109006059198,1.59564899204513,3.13960369593753,2.70348419838494,3.08315558774313,2.05538496867621,1.46150811207931,1.70828540362079,1.80881024372788,1.88510453865427,1.72344194738262,1.76829870289336,1.64587204240885,1.54634715554007,1.66381299519058,1.31968903563349,1.69761854638452,3.46467978276194,1.39238887127984,2.33952437485382,1.7755107356507,2.11286688729016,1.52773670786556,1.36932126972196,3.54074726702397,3.73026051052458,2.40396931719956,1.46988875693783,2.54264198511327,2.16404113392907,1.69073453452698,1.32876478071691
4,613,28.8678725891211,13,10,16.5089654213264,8,0,1,3,3,2,3,1,4,2.86794605868424,3,2,1,1,1,1,1,2,2,1,1,2,1,4,2,2,1,2,2,1,4,4,2,2,2,2,1,1
5,613,30,11,12,22,8,0,2,3,3,1,3,1,3,3,3,1,2,3,2,3,2,3,2,1,2,1,2,4,1,1,1,2,2,1,3,4,2,2,2,2,1,1
6,613,30,13,11,17,8,0,1,4,3,2,3,2,4,3,4,2,1,2,2,2,1,1,1,1,2,1,2,4,1,3,2,2,1,1,4,4,3,2,2,3,2,1
7,613,30,11,8,21,9,0,1,3,4,2,3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,4,1,2,2,1,1,1,4,4,2,1,3,2,2,1
8,613,30,10,8,19,8,0,1,3,2,2,4,1,4,3,4,2,2,2,1,1,1,1,1,1,1,1,1,4,1,2,1,2,1,1,4,4,3,1,2,2,1,1
9,613,26.3136651655384,14.4760176748821,16,19.6966896549737,9,0,3,2.97065436034373,2.7035840929255,2.19513160222712,3.0701922351374,1.74954842660551,3.0788031504429,2.61854375885392,3.00678257261786,2.19020184402879,1.64959777443334,1.86564354594181,1.99920327630338,2.0468672439973,1.90270742207421,1.90021265447442,1.87915394711191,1.8113068634312,1.88315357076675,1.40969109482156,1.87317976855035,3.36959769152483,1.46036012123909,2.44424965093873,1.82414756876875,2.14671503681699,1.6872721159652,1.5436977135144,3.29191983066813,3.54068453083257,2.40897238164721,1.49413778983659,2.35127221464277,2.20940894837581,1.8412771476939,1.35400083777343
10,613,27,14,10,22,8,0,2,4,3,1,2,2,4,1,3,2,2,1,1,2,2,2,2,1,1,1,1,3,2,2,1,2,3,2,3,4,2,1,2,1,1,2
11,613,25,16,13,19,8,0,1,3,3,3,3,2,3,2,3,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,2,3,3,4,2,2,3,2,2
12,613,24,12,18,22,8,0,1,3,3,3,3,1,3,2,3,4,1,1,2,1,1,2,1,1,1,1,1,4,1,3,1,2,2,2,4,4,2,2,3,2,1,1
13,613,27,16,13,21,8,0,2,3,3,2,3,2,3,3,3,2,2,2,2,2,1,1,2,2,2,1,2,3,2,3,2,2,2,2,3,3,2,2,2,2,1,1
14,613,27.9499226771633,10.5419572687898,12.5204545721706,15.3625302102295,12.2191466978674,0,1,4,4,3,2,1,2,3,3,1.05014663209603,1,1.51195955601964,3,1,1.29916907460929,1.3462499561826,1.1800512845166,.809711045967296,1,2,1.16948680986542,3.17397903352903,1.22515383506635,1,1.32129564167536,1,1,1,4,4,3,1,1,1,1.23040753739583,.983676165494265
